id,name,state,county,range,elevation_ft,elevation_m,prominence_ft,lat,lon,gnis_feature_id,wikidata_qid,wikipedia_url,lists,photo_url,photo_license,photo_license_url,photo_author,photo_source_page,photo_attribution,coord_source,official_usgs_name,prominence_marginal,aka
ak-mount-mckinley-denali,Mount McKinley (Denali),Alaska,Denali,,20310.0,6190.5,,63.0691018,-151.0062617,1414314,Q130018,https://en.wikipedia.org/wiki/Denali,us-state-highpoints,https://upload.wikimedia.org/wikipedia/commons/9/91/Wonder_Lake_and_Denali.jpg,Public domain,,Denali National Park and Preserve,https://commons.wikimedia.org/wiki/File:Wonder_Lake_and_Denali.jpg,"Denali National Park and Preserve, Public domain, via Wikimedia Commons",USGS GNIS feature 1414314,,,
ca-mount-whitney,Mount Whitney,California,Tulare,Sierra Nevada,14491,4417,10080.0,36.57857,-118.2924218,269051,Q2123824,https://en.wikipedia.org/wiki/List_of_mountain_ranges_of_California,ca-13ers;ca-14ers;us-state-highpoints,https://upload.wikimedia.org/wikipedia/commons/f/f9/Mount_Whitney_2003-03-25.jpg,CC BY 1.0,https://creativecommons.org/licenses/by/1.0,Geographer (talk · contribs),https://commons.wikimedia.org/wiki/File:Mount_Whitney_2003-03-25.jpg,"Geographer (talk · contribs), CC BY 1.0, via Wikimedia Commons",USGS GNIS feature 269051,True,False,
co-mount-elbert,Mount Elbert,Colorado,Lake,,14439.6,4401.2,,39.1178687,-106.4452569,180381,Q657225,https://en.wikipedia.org/wiki/Mount_Elbert,us-state-highpoints,https://upload.wikimedia.org/wikipedia/commons/1/1e/Mt._Elbert.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Hogs555 (talk · contribs),https://commons.wikimedia.org/wiki/File:Mt._Elbert.jpg,"Hogs555 (talk · contribs), CC BY-SA 4.0, via Wikimedia Commons",USGS GNIS feature 180381,,,
wa-mount-rainier,Mount Rainier,Washington,Pierce,,14399.6,4389.0,,46.8528267,-121.7604408,1533614,Q194057,https://en.wikipedia.org/wiki/Mount_Rainier,us-state-highpoints,https://upload.wikimedia.org/wikipedia/commons/3/3d/Mount_Rainier_5917s.JPG,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Walter Siegmund (talk),https://commons.wikimedia.org/wiki/File:Mount_Rainier_5917s.JPG,"Walter Siegmund (talk), CC BY-SA 3.0, via Wikimedia Commons",USGS GNIS feature 1533614,,,
ca-mount-williamson,Mount Williamson,California,Inyo,Sierra Nevada,14375,4382,1675.5,36.6559544,-118.3110851,1654980,Q822964,https://en.wikipedia.org/wiki/Mount_Williamson,ca-13ers;ca-14ers,https://upload.wikimedia.org/wikipedia/commons/9/98/Mount_Williamson.jpg,Public domain,,"Jeffrey Burton, National Park Service",https://commons.wikimedia.org/wiki/File:Mount_Williamson.jpg,"Jeffrey Burton, National Park Service, Public domain, via Wikimedia Commons",USGS GNIS feature 1654980,True,False,
ca-white-mountain-peak,White Mountain Peak,California,Mono,White Mountains,14246,4342,7196.0,37.6340283,-118.2556316,255232,Q4468440,https://en.wikipedia.org/wiki/White_Mountain_Peak,ca-13ers;ca-14ers,https://upload.wikimedia.org/wikipedia/commons/7/77/White_Mountain_CA.JPG,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,JonathanLamb (talk · contribs),https://commons.wikimedia.org/wiki/File:White_Mountain_CA.JPG,"JonathanLamb (talk · contribs), CC BY 3.0, via Wikimedia Commons",USGS GNIS feature 255232,True,False,
ca-north-palisade,North Palisade,California,Inyo,Sierra Nevada,14242,4341,2894.0,37.0942428,-118.5144372,264233,Q2047839,https://en.wikipedia.org/wiki/Palisades_%28California_Sierra%29,ca-13ers;ca-14ers,https://upload.wikimedia.org/wikipedia/commons/7/72/North_Palisade_from_Windy_Point.jpg,Public domain,,Ansel Adams,https://commons.wikimedia.org/wiki/File:North_Palisade_from_Windy_Point.jpg,"Ansel Adams, Public domain, via Wikimedia Commons",USGS GNIS feature 264233,True,False,
ca-mount-shasta,Mount Shasta,California,Siskiyou,Cascade Range,14162,4317,9772.0,41.40917,-122.1948451,266054,Q748355,https://en.wikipedia.org/wiki/Mount_Shasta,ca-13ers;ca-14ers,https://upload.wikimedia.org/wikipedia/commons/2/22/MtShasta_aerial.JPG,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,Ewen Denney (talk · contribs),https://commons.wikimedia.org/wiki/File:MtShasta_aerial.JPG,"Ewen Denney (talk · contribs), CC BY-SA 3.0, via Wikimedia Commons",USGS GNIS feature 266054,True,False,
ca-mount-sill,Mount Sill,California,Inyo,Sierra Nevada,14153,4314,373.0,37.095985,-118.5033965,1654943,Q4419260,https://en.wikipedia.org/wiki/Mount_Sill,ca-13ers;ca-14ers,https://upload.wikimedia.org/wikipedia/commons/4/4f/Mount_Sill_cropped.jpg,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,Jonathan Fox,https://commons.wikimedia.org/wiki/File:Mount_Sill_cropped.jpg,"Jonathan Fox, CC BY-SA 2.0, via Wikimedia Commons",USGS GNIS feature 1654943,True,False,
ca-mount-russell,Mount Russell,California,Inyo,Sierra Nevada,14088,4294,1128.6,36.5906707,-118.2890359,265692,Q4390381,https://en.wikipedia.org/wiki/Mount_Russell_%28California%29,ca-13ers;ca-14ers,https://upload.wikimedia.org/wikipedia/commons/2/26/Mt_Russell.jpg,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,Will Beback at en.wikipedia,https://commons.wikimedia.org/wiki/File:Mt_Russell.jpg,"Will Beback at en.wikipedia, CC BY-SA 3.0, via Wikimedia Commons",USGS GNIS feature 265692,True,False,
